Country,year,avg_temp_mean_f,avg_temp_max_f,avg_temp_min_f,total_precip_mm,avg_sunshine_hrs,total_radiation_mj
Estonia,2001,42.66711,48.4238,36.344814,751.4,2455.4368,3540.72
Estonia,2002,43.411175,49.60983,36.712215,605.5,2802.5977,3884.85
Estonia,2003,42.40192,48.389282,36.24693,600.9,2420.3079,3465.26
Estonia,2004,42.241283,47.940884,35.929325,752.7,2422.254,3438.38
Estonia,2005,42.381733,48.346874,35.955475,583.8,2626.1394,3629.35
Estonia,2006,43.987988,49.96268,37.534794,521.7,2565.6997,3728.08
Estonia,2007,44.162815,49.947147,38.015614,764.6,2529.7234,3564.8499
Estonia,2008,45.059967,50.087357,39.634575,841.69995,2350.959,3366.31
Estonia,2009,42.462177,47.866055,36.44887,733.2001,2409.5452,3486.3599
Estonia,2010,40.547276,46.262573,34.51597,772.10004,2333.469,3497.66
Estonia,2011,44.237495,49.614025,38.415066,704.9,2652.4739,3646.9502
Estonia,2012,41.114265,46.475063,35.13629,872.9,2346.9639,3418.8
Estonia,2013,43.708984,49.591583,37.433697,582.9,2614.9443,3705.9897
Estonia,2014,44.533028,50.129612,38.83104,698.60004,2475.3633,3528.41
Estonia,2015,45.170868,50.851337,39.27339,647.4,2540.9329,3510.02
Estonia,2016,43.394413,48.858093,37.529408,746.3,2488.1228,3503.87
Estonia,2017,43.216614,48.817337,37.454655,830.30005,2415.2517,3425.7202
Estonia,2018,44.954323,50.9586,38.591614,577.4,2606.1553,3801.25
Estonia,2019,45.15715,51.180515,38.55635,825.1,2530.037,3671.4297
Estonia,2020,46.697723,52.167686,40.928753,891.4,2557.4087,3596.13
Fiji,1995,78.80529,79.77027,77.57477,392.4,4031.0088,7880.38
Fiji,1996,78.91771,79.96311,77.60246,861.39996,3973.8057,7709.2705
Fiji,1997,78.84926,79.77274,77.6951,525.0,4008.3594,7807.5303
Fiji,1998,78.30285,79.173805,77.168655,412.0,4045.7925,7912.4004
Fiji,1999,78.31268,79.286,77.004196,801.80005,4019.6392,7769.1
Fiji,2000,78.89803,79.85123,77.632706,620.2,4019.8032,7880.16
Fiji,2001,79.08939,80.07085,77.76019,731.3,3981.9167,7764.63
Fiji,2002,78.72902,79.70838,77.53902,831.6,3978.3545,7714.06
Fiji,2003,79.01303,80.07159,77.72074,858.6,3973.897,7593.82
Fiji,2004,79.22105,80.28426,77.88205,800.6,3934.5679,7585.8994
Fiji,2005,79.05176,80.02992,77.80581,553.2,4011.7004,7745.6895
Fiji,2006,79.225525,80.245674,77.91283,607.0,4023.2527,7772.06
